month,product_category,company,asp_inr
2023-09-01,Earwear,Amazon.com,609.122610493039
2023-10-01,Earwear,Amazon.com,674.2931593159317
2023-12-01,Earwear,Amazon.com,573.1799999999997
2024-01-01,Earwear,Amazon.com,753.0589424860852
2024-02-01,Earwear,Amazon.com,696.1799999999997
2024-04-01,Earwear,Amazon.com,107.71408591408591
2024-05-01,Earwear,Amazon.com,486.6214996767937
2024-06-01,Earwear,Amazon.com,862.2864371357757
2024-08-01,Earwear,Amazon.com,545.3404938271605
2024-09-01,Earwear,Amazon.com,860.1776417355293
2024-10-01,Earwear,Amazon.com,774.9721898716709
2024-11-01,Earwear,Amazon.com,819.18
2025-02-01,Earwear,Amazon.com,706.7537775854609
2025-03-01,Earwear,Amazon.com,662.8835490605427
2025-05-01,Earwear,Amazon.com,484.93884754990927
2025-06-01,Earwear,Amazon.com,484.45039689034365
2025-07-01,Earwear,Amazon.com,922.8289831062668
2025-08-01,Earwear,Amazon.com,898.2455107895719
2025-09-01,Earwear,Amazon.com,859.5848555333455
2025-10-01,Earwear,Amazon.com,881.4297193057637
2025-11-01,Earwear,Amazon.com,812.7386294416244
2025-12-01,Earwear,Amazon.com,847.9115419779239
2026-01-01,Earwear,Amazon.com,1149.216783994072
2026-02-01,Earwear,Amazon.com,1013.395413652092
2026-03-01,Earwear,Amazon.com,884.1597638554217
2023-06-01,Earwear,Ambrane,819.1800000000002
2020-01-01,Earwear,Anker,4509.18
2020-02-01,Earwear,Anker,4919.18
2020-03-01,Earwear,Anker,4509.179999999999
2020-05-01,Earwear,Anker,1639.1800000000003
2020-06-01,Earwear,Anker,1820.54521282186
2020-07-01,Earwear,Anker,1831.792410986775
2020-08-01,Earwear,Anker,1885.18
2020-09-01,Earwear,Anker,1803.18
2020-10-01,Earwear,Anker,2201.393552361396
2020-12-01,Earwear,Anker,2482.6439562413257
2021-01-01,Earwear,Anker,2049.026240390024
2021-04-01,Earwear,Anker,4509.179999999999
2021-10-01,Earwear,Anker,2337.6780617490995
2021-11-01,Earwear,Anker,2225.8930115424973
2021-12-01,Earwear,Anker,2421.3856758809584
2022-01-01,Earwear,Anker,1488.1071926649774
2022-02-01,Earwear,Anker,1932.950191808056
2022-03-01,Earwear,Anker,2335.425729303547
2022-05-01,Earwear,Anker,1229.1799999999998
2022-08-01,Earwear,Anker,1147.1799999999998
2022-09-01,Earwear,Anker,1227.5399999999995
2022-10-01,Earwear,Anker,1229.18
2022-11-01,Earwear,Anker,1229.1799999999998
2023-03-01,Earwear,Anker,1229.18
2023-04-01,Earwear,Anker,1434.1799999999998
2023-05-01,Earwear,Anker,2705.18
2023-06-01,Earwear,Anker,2705.18
2023-07-01,Earwear,Anker,1938.5001183892823
2023-08-01,Earwear,Anker,2019.2453073001825
2023-09-01,Earwear,Anker,2578.773168517598
2023-10-01,Earwear,Anker,3177.1310649533525
2023-11-01,Earwear,Anker,1706.1752551883485
2023-12-01,Earwear,Anker,4802.47216080402
2024-01-01,Earwear,Anker,4052.3872567344697
2024-02-01,Earwear,Anker,1128.1922950819674
2024-03-01,Earwear,Anker,4615.318820301783
2024-04-01,Earwear,Anker,4436.160413793104
2024-05-01,Earwear,Anker,3226.3014953271027
2024-06-01,Earwear,Anker,4338.39248323784
2024-07-01,Earwear,Anker,3517.883831487198
2024-08-01,Earwear,Anker,3113.2656031128404
2024-09-01,Earwear,Anker,3133.8792014196983
2024-10-01,Earwear,Anker,3973.972071802542
2024-11-01,Earwear,Anker,2872.217037037037
2024-12-01,Earwear,Anker,5274.825714285714
2025-01-01,Earwear,Anker,4248.67111531191
2025-02-01,Earwear,Anker,2399.7837117903928
2025-03-01,Earwear,Anker,1566.4439821029082
2025-04-01,Earwear,Anker,2743.597818740399
2025-05-01,Earwear,Anker,1866.150603290676
2025-06-01,Earwear,Anker,2121.442684875032
2025-07-01,Earwear,Anker,2069.3709818979705
2025-08-01,Earwear,Anker,1808.664830973707
2025-09-01,Earwear,Anker,1346.2353608449048
2025-10-01,Earwear,Anker,1470.2779837283338
2025-11-01,Earwear,Anker,1224.069968253968
2025-12-01,Earwear,Anker,1096.622817193164
2026-01-01,Earwear,Anker,1098.9757805429865
2026-02-01,Earwear,Anker,840.4815532940546
2026-03-01,Earwear,Anker,1831.3792437520283
2020-01-01,Earwear,Apple,13990.87327365154
2020-02-01,Earwear,Apple,13202.028989990498
2020-03-01,Earwear,Apple,13490.632732694896
2020-05-01,Earwear,Apple,18819.662732520846
2020-06-01,Earwear,Apple,16176.944405446442
2020-07-01,Earwear,Apple,15331.651228909255
2020-08-01,Earwear,Apple,15984.706418028463
2020-09-01,Earwear,Apple,15281.029711941712
2020-10-01,Earwear,Apple,14539.425454148946
2020-11-01,Earwear,Apple,14220.755868558192
2020-12-01,Earwear,Apple,26312.188034188035
2021-01-01,Earwear,Apple,15460.45969398854
2021-02-01,Earwear,Apple,17891.646801530893
2021-03-01,Earwear,Apple,17003.627438526448
2021-04-01,Earwear,Apple,20646.7591555364
2021-05-01,Earwear,Apple,20348.55873708828
2021-06-01,Earwear,Apple,22695.541830065355
2021-07-01,Earwear,Apple,17344.325003816983
2021-08-01,Earwear,Apple,15145.30466802811
2021-09-01,Earwear,Apple,13980.63431484386
2021-10-01,Earwear,Apple,17048.734751598622
2021-11-01,Earwear,Apple,16679.23774291735
2021-12-01,Earwear,Apple,16854.666868610373
2022-01-01,Earwear,Apple,12883.992280885825
2022-02-01,Earwear,Apple,18475.72933349269
2022-03-01,Earwear,Apple,20129.76156107993
2022-04-01,Earwear,Apple,19331.332585250293
2022-05-01,Earwear,Apple,19747.32779417659
2022-06-01,Earwear,Apple,19204.16745380449
2022-07-01,Earwear,Apple,15930.82652704382
2022-08-01,Earwear,Apple,15749.907050394417
2022-09-01,Earwear,Apple,18987.048827580984
2022-10-01,Earwear,Apple,19676.8029115859
2022-11-01,Earwear,Apple,21694.050585480098
2022-12-01,Earwear,Apple,21071.232771848103
2023-01-01,Earwear,Apple,14635.294502398534
2023-02-01,Earwear,Apple,17633.516999999996
2023-03-01,Earwear,Apple,20741.68329385877
2023-04-01,Earwear,Apple,19793.7535037346
2023-05-01,Earwear,Apple,20184.261030033224
2023-06-01,Earwear,Apple,13628.265087469095
2023-07-01,Earwear,Apple,21380.734799916936
2023-08-01,Earwear,Apple,20503.326763570727
2023-09-01,Earwear,Apple,18689.652333756443
2023-10-01,Earwear,Apple,16833.67761939767
2023-11-01,Earwear,Apple,16751.524627950643
2023-12-01,Earwear,Apple,15502.712774348052
2024-01-01,Earwear,Apple,15377.857045542378
2024-02-01,Earwear,Apple,12000.139255937956
2024-03-01,Earwear,Apple,17532.75894972097
2024-04-01,Earwear,Apple,17941.696726344744
2024-05-01,Earwear,Apple,17483.153370409076
2024-06-01,Earwear,Apple,14933.655662161604
2024-07-01,Earwear,Apple,17005.52261829253
2024-08-01,Earwear,Apple,13433.911815309866
2024-09-01,Earwear,Apple,12736.300579693092
2024-10-01,Earwear,Apple,14640.553075906812
2024-11-01,Earwear,Apple,13749.366478118483
