metric,product_category,company,month,value,is_boat
asp_inr,Earwear,Amazon.com,2023-09-01,609.122610493039,False
asp_inr,Earwear,Amazon.com,2023-10-01,674.2931593159317,False
asp_inr,Earwear,Amazon.com,2023-12-01,573.1799999999997,False
asp_inr,Earwear,Amazon.com,2024-01-01,753.0589424860852,False
asp_inr,Earwear,Amazon.com,2024-02-01,696.1799999999997,False
asp_inr,Earwear,Amazon.com,2024-04-01,107.71408591408591,False
asp_inr,Earwear,Amazon.com,2024-05-01,486.6214996767937,False
asp_inr,Earwear,Amazon.com,2024-06-01,862.2864371357757,False
asp_inr,Earwear,Amazon.com,2024-08-01,545.3404938271605,False
asp_inr,Earwear,Amazon.com,2024-09-01,860.1776417355293,False
asp_inr,Earwear,Amazon.com,2024-10-01,774.9721898716709,False
asp_inr,Earwear,Amazon.com,2024-11-01,819.18,False
asp_inr,Earwear,Amazon.com,2025-02-01,706.7537775854609,False
asp_inr,Earwear,Amazon.com,2025-03-01,662.8835490605427,False
asp_inr,Earwear,Amazon.com,2025-05-01,484.93884754990927,False
asp_inr,Earwear,Amazon.com,2025-06-01,484.45039689034365,False
asp_inr,Earwear,Amazon.com,2025-07-01,922.8289831062668,False
asp_inr,Earwear,Amazon.com,2025-08-01,898.2455107895719,False
asp_inr,Earwear,Amazon.com,2025-09-01,859.5848555333455,False
asp_inr,Earwear,Amazon.com,2025-10-01,881.4297193057637,False
asp_inr,Earwear,Amazon.com,2025-11-01,812.7386294416244,False
asp_inr,Earwear,Amazon.com,2025-12-01,847.9115419779239,False
asp_inr,Earwear,Amazon.com,2026-01-01,1149.2167839940719,False
asp_inr,Earwear,Amazon.com,2026-02-01,1013.3954136520919,False
asp_inr,Earwear,Amazon.com,2026-03-01,884.1597638554217,False
asp_inr,Earwear,Ambrane,2023-06-01,819.1800000000002,False
asp_inr,Earwear,Anker,2020-01-01,4509.18,False
asp_inr,Earwear,Anker,2020-02-01,4919.18,False
asp_inr,Earwear,Anker,2020-03-01,4509.179999999999,False
asp_inr,Earwear,Anker,2020-05-01,1639.1800000000003,False
asp_inr,Earwear,Anker,2020-06-01,1820.5452128218596,False
asp_inr,Earwear,Anker,2020-07-01,1831.792410986775,False
asp_inr,Earwear,Anker,2020-08-01,1885.1799999999998,False
asp_inr,Earwear,Anker,2020-09-01,1803.18,False
asp_inr,Earwear,Anker,2020-10-01,2201.393552361396,False
asp_inr,Earwear,Anker,2020-12-01,2482.6439562413257,False
asp_inr,Earwear,Anker,2021-01-01,2049.026240390024,False
asp_inr,Earwear,Anker,2021-04-01,4509.179999999999,False
asp_inr,Earwear,Anker,2021-10-01,2337.6780617490995,False
asp_inr,Earwear,Anker,2021-11-01,2225.8930115424973,False
asp_inr,Earwear,Anker,2021-12-01,2421.3856758809584,False
asp_inr,Earwear,Anker,2022-01-01,1488.1071926649774,False
asp_inr,Earwear,Anker,2022-02-01,1932.9501918080562,False
asp_inr,Earwear,Anker,2022-03-01,2335.425729303547,False
asp_inr,Earwear,Anker,2022-05-01,1229.1799999999998,False
asp_inr,Earwear,Anker,2022-08-01,1147.1799999999998,False
asp_inr,Earwear,Anker,2022-09-01,1227.5399999999997,False
asp_inr,Earwear,Anker,2022-10-01,1229.18,False
asp_inr,Earwear,Anker,2022-11-01,1229.1799999999998,False
asp_inr,Earwear,Anker,2023-03-01,1229.18,False
asp_inr,Earwear,Anker,2023-04-01,1434.1799999999998,False
asp_inr,Earwear,Anker,2023-05-01,2705.18,False
asp_inr,Earwear,Anker,2023-06-01,2705.18,False
asp_inr,Earwear,Anker,2023-07-01,1938.5001183892825,False
asp_inr,Earwear,Anker,2023-08-01,2019.2453073001825,False
asp_inr,Earwear,Anker,2023-09-01,2578.773168517598,False
asp_inr,Earwear,Anker,2023-10-01,3177.1310649533525,False
asp_inr,Earwear,Anker,2023-11-01,1706.1752551883485,False
asp_inr,Earwear,Anker,2023-12-01,4802.47216080402,False
asp_inr,Earwear,Anker,2024-01-01,4052.3872567344697,False
asp_inr,Earwear,Anker,2024-02-01,1128.1922950819674,False
asp_inr,Earwear,Anker,2024-03-01,4615.318820301783,False
asp_inr,Earwear,Anker,2024-04-01,4436.1604137931035,False
asp_inr,Earwear,Anker,2024-05-01,3226.3014953271027,False
asp_inr,Earwear,Anker,2024-06-01,4338.39248323784,False
asp_inr,Earwear,Anker,2024-07-01,3517.883831487198,False
asp_inr,Earwear,Anker,2024-08-01,3113.2656031128404,False
asp_inr,Earwear,Anker,2024-09-01,3133.8792014196983,False
asp_inr,Earwear,Anker,2024-10-01,3973.972071802542,False
asp_inr,Earwear,Anker,2024-11-01,2872.2170370370372,False
asp_inr,Earwear,Anker,2024-12-01,5274.825714285714,False
asp_inr,Earwear,Anker,2025-01-01,4248.67111531191,False
asp_inr,Earwear,Anker,2025-02-01,2399.7837117903928,False
asp_inr,Earwear,Anker,2025-03-01,1566.4439821029082,False
asp_inr,Earwear,Anker,2025-04-01,2743.597818740399,False
asp_inr,Earwear,Anker,2025-05-01,1866.1506032906761,False
asp_inr,Earwear,Anker,2025-06-01,2121.442684875032,False
asp_inr,Earwear,Anker,2025-07-01,2069.3709818979705,False
asp_inr,Earwear,Anker,2025-08-01,1808.664830973707,False
asp_inr,Earwear,Anker,2025-09-01,1346.2353608449048,False
asp_inr,Earwear,Anker,2025-10-01,1470.2779837283338,False
asp_inr,Earwear,Anker,2025-11-01,1224.069968253968,False
asp_inr,Earwear,Anker,2025-12-01,1096.622817193164,False
asp_inr,Earwear,Anker,2026-01-01,1098.9757805429863,False
asp_inr,Earwear,Anker,2026-02-01,840.4815532940546,False
asp_inr,Earwear,Anker,2026-03-01,1831.3792437520283,False
asp_inr,Earwear,Apple,2020-01-01,13990.87327365154,False
asp_inr,Earwear,Apple,2020-02-01,13202.028989990498,False
asp_inr,Earwear,Apple,2020-03-01,13490.632732694896,False
asp_inr,Earwear,Apple,2020-05-01,18819.662732520846,False
asp_inr,Earwear,Apple,2020-06-01,16176.944405446442,False
asp_inr,Earwear,Apple,2020-07-01,15331.651228909257,False
asp_inr,Earwear,Apple,2020-08-01,15984.706418028463,False
asp_inr,Earwear,Apple,2020-09-01,15281.029711941712,False
asp_inr,Earwear,Apple,2020-10-01,14539.425454148946,False
asp_inr,Earwear,Apple,2020-11-01,14220.755868558192,False
asp_inr,Earwear,Apple,2020-12-01,26312.188034188035,False
asp_inr,Earwear,Apple,2021-01-01,15460.45969398854,False
asp_inr,Earwear,Apple,2021-02-01,17891.646801530893,False
asp_inr,Earwear,Apple,2021-03-01,17003.627438526448,False
asp_inr,Earwear,Apple,2021-04-01,20646.7591555364,False
asp_inr,Earwear,Apple,2021-05-01,20348.558737088282,False
asp_inr,Earwear,Apple,2021-06-01,22695.541830065355,False
asp_inr,Earwear,Apple,2021-07-01,17344.325003816983,False
asp_inr,Earwear,Apple,2021-08-01,15145.30466802811,False
asp_inr,Earwear,Apple,2021-09-01,13980.63431484386,False
asp_inr,Earwear,Apple,2021-10-01,17048.734751598622,False
asp_inr,Earwear,Apple,2021-11-01,16679.23774291735,False
asp_inr,Earwear,Apple,2021-12-01,16854.666868610373,False
asp_inr,Earwear,Apple,2022-01-01,12883.992280885823,False
asp_inr,Earwear,Apple,2022-02-01,18475.72933349269,False
asp_inr,Earwear,Apple,2022-03-01,20129.761561079926,False
asp_inr,Earwear,Apple,2022-04-01,19331.332585250293,False
asp_inr,Earwear,Apple,2022-05-01,19747.32779417659,False
asp_inr,Earwear,Apple,2022-06-01,19204.16745380449,False
asp_inr,Earwear,Apple,2022-07-01,15930.826527043819,False
asp_inr,Earwear,Apple,2022-08-01,15749.907050394415,False
asp_inr,Earwear,Apple,2022-09-01,18987.048827580984,False
asp_inr,Earwear,Apple,2022-10-01,19676.8029115859,False
asp_inr,Earwear,Apple,2022-11-01,21694.050585480098,False
asp_inr,Earwear,Apple,2022-12-01,21071.232771848106,False
asp_inr,Earwear,Apple,2023-01-01,14635.294502398534,False
asp_inr,Earwear,Apple,2023-02-01,17633.516999999996,False
asp_inr,Earwear,Apple,2023-03-01,20741.68329385877,False
asp_inr,Earwear,Apple,2023-04-01,19793.753503734602,False
asp_inr,Earwear,Apple,2023-05-01,20184.261030033224,False
asp_inr,Earwear,Apple,2023-06-01,13628.265087469097,False
asp_inr,Earwear,Apple,2023-07-01,21380.734799916936,False
asp_inr,Earwear,Apple,2023-08-01,20503.326763570727,False
asp_inr,Earwear,Apple,2023-09-01,18689.652333756443,False
asp_inr,Earwear,Apple,2023-10-01,16833.67761939767,False
asp_inr,Earwear,Apple,2023-11-01,16751.524627950643,False
asp_inr,Earwear,Apple,2023-12-01,15502.712774348052,False
asp_inr,Earwear,Apple,2024-01-01,15377.857045542378,False
asp_inr,Earwear,Apple,2024-02-01,12000.139255937955,False
asp_inr,Earwear,Apple,2024-03-01,17532.75894972097,False
asp_inr,Earwear,Apple,2024-04-01,17941.696726344744,False
asp_inr,Earwear,Apple,2024-05-01,17483.153370409076,False
asp_inr,Earwear,Apple,2024-06-01,14933.655662161604,False
asp_inr,Earwear,Apple,2024-07-01,17005.52261829253,False
asp_inr,Earwear,Apple,2024-08-01,13433.911815309866,False
asp_inr,Earwear,Apple,2024-09-01,12736.300579693092,False
asp_inr,Earwear,Apple,2024-10-01,14640.553075906813,False
asp_inr,Earwear,Apple,2024-11-01,13749.366478118485,False
asp_inr,Earwear,Apple,2024-12-01,15922.137914456727,False
asp_inr,Earwear,Apple,2025-01-01,12951.855375035742,False
asp_inr,Earwear,Apple,2025-02-01,14275.706441255561,False
asp_inr,Earwear,Apple,2025-03-01,13716.089571899012,False
asp_inr,Earwear,Apple,2025-04-01,16441.76640586219,False
asp_inr,Earwear,Apple,2025-05-01,16724.780871562918,False
asp_inr,Earwear,Apple,2025-06-01,18612.653708973878,False
asp_inr,Earwear,Apple,2025-07-01,17730.270212438023,False
asp_inr,Earwear,Apple,2025-08-01,17635.295188549127,False
asp_inr,Earwear,Apple,2025-09-01,18134.057706031712,False
asp_inr,Earwear,Apple,2025-10-01,18341.093613763012,False
asp_inr,Earwear,Apple,2025-11-01,18886.139794715353,False
asp_inr,Earwear,Apple,2025-12-01,15759.295505096747,False
asp_inr,Earwear,Apple,2026-01-01,18003.649417815046,False
asp_inr,Earwear,Apple,2026-02-01,20330.10928024092,False
asp_inr,Earwear,Apple,2026-03-01,17475.67014002897,False
asp_inr,Earwear,Bang and Olufsen,2023-10-01,55989.6,False
asp_inr,Earwear,Bang and Olufsen,2023-11-01,54940.000000000015,False
asp_inr,Earwear,Bang and Olufsen,2023-12-01,81180.0,False
asp_inr,Earwear,Bang and Olufsen,2024-01-01,57563.999999999985,False
asp_inr,Earwear,Bang and Olufsen,2024-02-01,55514.0,False
asp_inr,Earwear,Bang and Olufsen,2024-03-01,43125.92592592592,False
asp_inr,Earwear,Bang and Olufsen,2024-04-01,45876.84210526316,False
asp_inr,Earwear,Bang and Olufsen,2024-05-01,33899.14893617021,False
asp_inr,Earwear,Bang and Olufsen,2024-06-01,45574.73684210526,False
asp_inr,Earwear,Bang and Olufsen,2024-07-01,39681.568627450964,False
asp_inr,Earwear,Bang and Olufsen,2024-08-01,36977.56756756756,False
asp_inr,Earwear,Bang and Olufsen,2024-09-01,41865.55555555555,False
asp_inr,Earwear,Bang and Olufsen,2024-10-01,49764.590163934416,False
asp_inr,Earwear,Bang and Olufsen,2024-11-01,34439.99999999999,False
asp_inr,Earwear,Bang and Olufsen,2024-12-01,62577.25490196077,False
asp_inr,Earwear,Bang and Olufsen,2025-01-01,74001.1320754717,False
asp_inr,Earwear,Bang and Olufsen,2025-02-01,31774.999999999996,False
asp_inr,Earwear,Bang and Olufsen,2025-03-01,51796.666666666664,False
asp_inr,Earwear,Bang and Olufsen,2025-04-01,52156.730769230766,False
asp_inr,Earwear,Bang and Olufsen,2025-05-01,67983.6313253012,False
asp_inr,Earwear,Bang and Olufsen,2025-06-01,41613.13636363636,False
asp_inr,Earwear,Bang and Olufsen,2025-07-01,72384.94807692309,False
asp_inr,Earwear,Bang and Olufsen,2025-08-01,78910.86206896552,False
asp_inr,Earwear,Bang and Olufsen,2025-09-01,65177.64839160838,False
asp_inr,Earwear,Bang and Olufsen,2025-10-01,50281.10526315789,False
