metric,product_category,month,value
asp_inr,Earwear,2020-01-01,2117.224177118153
asp_inr,Earwear,2020-02-01,3266.5777769552265
asp_inr,Earwear,2020-03-01,2923.0955658499774
asp_inr,Earwear,2020-05-01,2436.5663341539525
asp_inr,Earwear,2020-06-01,2036.5866787537477
asp_inr,Earwear,2020-07-01,2207.0080547117664
asp_inr,Earwear,2020-08-01,2451.679955822363
asp_inr,Earwear,2020-09-01,2522.896310510088
asp_inr,Earwear,2020-10-01,2120.654808132105
asp_inr,Earwear,2020-11-01,1969.1689176157877
asp_inr,Earwear,2020-12-01,1525.4663542063258
asp_inr,Earwear,2021-01-01,2050.4302770902086
asp_inr,Earwear,2021-02-01,2054.9573470181904
asp_inr,Earwear,2021-03-01,2177.0768634268043
asp_inr,Earwear,2021-04-01,1901.7457357397209
asp_inr,Earwear,2021-05-01,1745.1572804192958
asp_inr,Earwear,2021-06-01,1486.934100085548
asp_inr,Earwear,2021-07-01,1740.1456212677344
asp_inr,Earwear,2021-08-01,1803.4647229071638
asp_inr,Earwear,2021-09-01,1902.703609186265
asp_inr,Earwear,2021-10-01,1648.0367459420888
asp_inr,Earwear,2021-11-01,1507.841684233425
asp_inr,Earwear,2021-12-01,1672.4627835576086
asp_inr,Earwear,2022-01-01,1635.6475682287225
asp_inr,Earwear,2022-02-01,1611.060168160983
asp_inr,Earwear,2022-03-01,1595.01009529489
asp_inr,Earwear,2022-04-01,1551.7959450742685
asp_inr,Earwear,2022-05-01,1476.3898906830939
asp_inr,Earwear,2022-06-01,1466.6287727627673
asp_inr,Earwear,2022-07-01,1537.3612252515334
asp_inr,Earwear,2022-08-01,1792.5444403503427
asp_inr,Earwear,2022-09-01,1562.6210929826238
asp_inr,Earwear,2022-10-01,1479.8659479891867
asp_inr,Earwear,2022-11-01,1519.4107680937427
asp_inr,Earwear,2022-12-01,1454.1534139428602
asp_inr,Earwear,2023-01-01,1376.1626778757573
asp_inr,Earwear,2023-02-01,1416.2319251177132
asp_inr,Earwear,2023-03-01,1633.341191171583
asp_inr,Earwear,2023-04-01,1434.4156170293222
asp_inr,Earwear,2023-05-01,1517.7132928511485
asp_inr,Earwear,2023-06-01,1438.394374836018
asp_inr,Earwear,2023-07-01,1648.1744485340348
asp_inr,Earwear,2023-08-01,1499.897713568225
asp_inr,Earwear,2023-09-01,1388.1492848260445
asp_inr,Earwear,2023-10-01,1549.955634205861
asp_inr,Earwear,2023-11-01,1669.3249073680229
asp_inr,Earwear,2023-12-01,1481.119132902449
asp_inr,Earwear,2024-01-01,1376.7262091884334
asp_inr,Earwear,2024-02-01,1274.2868240090152
asp_inr,Earwear,2024-03-01,1495.5095435104145
asp_inr,Earwear,2024-04-01,1402.096365086091
asp_inr,Earwear,2024-05-01,1381.3395267279436
asp_inr,Earwear,2024-06-01,1508.5631389289194
asp_inr,Earwear,2024-07-01,1595.0511346890657
asp_inr,Earwear,2024-08-01,1611.991222412802
asp_inr,Earwear,2024-09-01,1607.962666889809
asp_inr,Earwear,2024-10-01,1474.254343107162
asp_inr,Earwear,2024-11-01,1297.4873133863948
asp_inr,Earwear,2024-12-01,1338.6289389654328
asp_inr,Earwear,2025-01-01,1277.137520838481
asp_inr,Earwear,2025-02-01,1272.3478698691965
asp_inr,Earwear,2025-03-01,1387.6503883926534
asp_inr,Earwear,2025-04-01,1412.0883414157993
asp_inr,Earwear,2025-05-01,1480.528097756098
asp_inr,Earwear,2025-06-01,1556.4547867679894
asp_inr,Earwear,2025-07-01,1599.6956015326568
asp_inr,Earwear,2025-08-01,1623.5260952098592
asp_inr,Earwear,2025-09-01,1635.334246521844
asp_inr,Earwear,2025-10-01,1562.0945029639988
asp_inr,Earwear,2025-11-01,1506.4589299675188
asp_inr,Earwear,2025-12-01,1636.4467172693965
asp_inr,Earwear,2026-01-01,1477.211784117136
asp_inr,Earwear,2026-02-01,1378.1222503093015
asp_inr,Earwear,2026-03-01,1488.286975646861
asp_inr,Glasses,2020-01-01,17958.00000000004
asp_inr,Glasses,2020-10-01,17958.0
asp_inr,Glasses,2020-11-01,17958.0
asp_inr,Glasses,2020-12-01,17957.999999999996
asp_inr,Glasses,2021-05-01,17957.999999999996
asp_inr,Glasses,2021-06-01,17958.0
asp_inr,Glasses,2021-09-01,17958.0
asp_inr,Glasses,2021-10-01,17957.999999999996
asp_inr,Glasses,2021-11-01,17958.0
asp_inr,Glasses,2021-12-01,17958.000000000004
asp_inr,Glasses,2022-01-01,10324.863564356436
asp_inr,Glasses,2022-02-01,9154.171559633029
asp_inr,Glasses,2022-03-01,10549.129966555183
asp_inr,Glasses,2022-04-01,15736.479999999996
asp_inr,Glasses,2022-05-01,15238.328852459017
asp_inr,Glasses,2022-06-01,5780.378499999998
